date,race_id,pred_top3,pred_top5,actual_top3,actual_top5,pred_pwin_top5
20250106,2025_0106_48_10,1|3|9,1|3|9|6|4,1|3,1|3|4,0.157025|0.125620|0.123377|0.088685|0.081571
20250106,2025_0106_48_11,5|9|6,5|9|6|4|2,9|4|5,9|4|5,0.361504|0.115374|0.104953|0.084797|0.079355
20250106,2025_0106_54_01,8|1|5,8|1|5|3|2,8|5|3,8|5|3|2,0.176883|0.142320|0.132361|0.117922|0.115046
20250106,2025_0106_54_02,7|9|6,7|9|6|2|10,9|6,9|6|2|7,0.308128|0.184877|0.115548|0.098601|0.076126
20250106,2025_0106_54_03,4|8|1,4|8|1|2|7,7|8|2,7|8|2|4,0.205118|0.152285|0.141407|0.128856|0.124854
20250106,2025_0106_54_04,3|4|9,3|4|9|2|8,3,3|2,0.331729|0.114389|0.086538|0.081089|0.072980
20250106,2025_0106_54_05,10|4|8,10|4|8|5|1,10|4|8,10|4|8|1,0.133127|0.124786|0.120168|0.106879|0.095091
20250106,2025_0106_54_06,4|7|5,4|7|5|6|1,4|7|5,4|7|5,0.214022|0.156058|0.145654|0.106252|0.099877
20250106,2025_0106_54_07,5|4|6,5|4|6|2|3,6|4,6|4,0.159392|0.152462|0.144902|0.132827|0.093760
20250106,2025_0106_54_08,2|6|3,2|6|3|8|9,9|6,9|6|3,0.136526|0.129415|0.121243|0.119460|0.112944
20250106,2025_0106_54_09,2|1|3,2|1|3|5|8,3,3,0.117180|0.116250|0.108500|0.096445|0.089679
20250106,2025_0106_55_01,2|6|9,2|6|9|5|4,6|9,6|9,0.195973|0.110975|0.103143|0.099831|0.093320
20250106,2025_0106_55_02,2|8|3,2|8|3|7|6,6|2|3,6|2|3|8,0.153871|0.136774|0.126717|0.107710|0.106526
20250106,2025_0106_55_03,7|6|3,7|6|3|9|11,6|11|3,6|11|3|7,0.239105|0.103612|0.095642|0.090608|0.077017
20250106,2025_0106_55_04,2|11|7,2|11|7|9|6,11|9|2,11|9|2|6,0.141641|0.135444|0.116243|0.101617|0.096316
20250106,2025_0106_55_05,7|3|8,7|3|8|6|4,3,3|6|8,0.233561|0.116780|0.112610|0.100097|0.096903
20250106,2025_0106_55_06,6|8|3,6|8|3|4|10,3|6|10,3|6|10|4,0.113729|0.113729|0.109180|0.089786|0.083800
20250106,2025_0106_55_07,11|6|8,11|6|8|10|7,10|8|6,10|8|6|7|11,0.118668|0.113670|0.095691|0.095070|0.091433
20250106,2025_0106_55_08,6|8|10,6|8|10|7|1,6|10,6|10|1,0.170914|0.170914|0.085457|0.080430|0.072509
20250106,2025_0106_55_09,2|10|1,2|10|1|4|5,10|2,10|2,0.287666|0.085428|0.079636|0.076118|0.072783
20250106,2025_0106_55_10,10|7|8,10|7|8|6|11,10|7,10|7|8,0.242790|0.106220|0.103497|0.090126|0.075995
20250106,2025_0106_55_11,2|4|5,2|4|5|7|8,2|7|5,2|7|5|4,0.268923|0.192088|0.115253|0.110984|0.085826
20250106,2025_0106_55_12,7|8|2,7|8|2|1|10,2|8,2|8,0.332650|0.332650|0.055442|0.047521|0.045361
20250107,2025_0107_42_01,6|4|9,6|4|9|8|7,9,9|4|8,0.181806|0.121204|0.088686|0.079046|0.072723
20250107,2025_0107_42_02,2|6|1,2|6|1|7|10,6|10,6|10|2,0.123627|0.110295|0.101811|0.098902|0.098340
20250107,2025_0107_42_03,6|7|2,6|7|2|4|1,6|1,6|1|4|7,0.148836|0.125732|0.098803|0.097157|0.094023
20250107,2025_0107_42_04,2|4|6,2|4|6|1|3,6|1,6|1|3|4,0.303545|0.303545|0.086727|0.075886|0.067454
20250107,2025_0107_42_05,1|3|10,1|3|10|11|9,10,10|1,0.284839|0.086315|0.076687|0.074306|0.071210
20250107,2025_0107_42_06,1|12|4,1|12|4|6|5,1|6|4,1|6|4|12|5,0.194357|0.129572|0.105058|0.089703|0.071173
20250107,2025_0107_42_07,7|11|8,7|11|8|4|2,7|2,7|2|8,0.145595|0.113240|0.107658|0.103294|0.097579
20250107,2025_0107_42_08,2|4|8,2|4|8|10|5,4|10|8,4|10|8|5,0.130278|0.119643|0.117607|0.108875|0.085793
20250107,2025_0107_42_09,12|9|1,12|9|1|7|3,12|3,12|3,0.305520|0.098328|0.081472|0.080136|0.073458
20250107,2025_0107_42_10,5|6|11,5|6|11|3|2,3|5|2,3|5|2|11,0.271722|0.086457|0.076082|0.074106|0.071327
20250107,2025_0107_42_11,2|8|4,2|8|4|6|7,8|2,8|2|6,0.157859|0.105006|0.096592|0.087505|0.085422
20250107,2025_0107_42_12,9|6|8,9|6|8|10|7,,10,0.145762|0.114278|0.108035|0.092758|0.084707
20250107,2025_0107_47_01,7|3|4,7|3|4|9|5,4|7|9,4|7|9|3,0.144145|0.117765|0.116874|0.115672|0.106774
20250107,2025_0107_47_02,8|2|4,8|2|4|3|5,8|4|5,8|4|5|3|2,0.454650|0.099801|0.090930|0.082664|0.071039
20250107,2025_0107_47_03,2|7|6,2|7|6|1|4,7|2,7|2|1,0.292775|0.195183|0.097592|0.092109|0.085690
20250107,2025_0107_47_04,4|5|3,4|5|3|7|2,7|3|5,7|3|5|4,0.186518|0.163204|0.132981|0.121859|0.106582
20250107,2025_0107_47_05,2|1|8,2|1|8|6|4,8,8|6|1,0.154170|0.142995|0.135195|0.131159|0.118515
20250107,2025_0107_47_06,7|1|2,7|1|2|8|3,8|1,8|1|7,0.429687|0.107422|0.096680|0.090460|0.071121
20250107,2025_0107_47_07,6|5|8,6|5|8|4|9,4|9|8,4|9|8|5,0.201411|0.120847|0.114314|0.113294|0.103465
20250107,2025_0107_47_08,7|2|6,7|2|6|4|8,6|7|4,6|7|4|8,0.231485|0.161233|0.135033|0.111978|0.097321
20250107,2025_0107_47_09,3|4|6,3|4|6|2|1,4,4|2|3,0.323917|0.186875|0.118095|0.089977|0.080281
20250107,2025_0107_47_10,1|3|7,1|3|7|9|2,7|3|2,7|3|2|1,0.163648|0.138451|0.119281|0.117417|0.115021
20250107,2025_0107_47_11,6|4|7,6|4|7|3|5,7|4,7|4|5|6,0.208862|0.195809|0.164891|0.097904|0.091074
20250108,2025_0108_42_01,10|1|7,10|1|7|11|9,10|9,10|9|11,0.111792|0.109130|0.103386|0.090662|0.089696
20250108,2025_0108_42_02,10|12|5,10|12|5|9|3,5|9|3,5|9|3,0.307213|0.122885|0.115205|0.082711|0.081321
20250108,2025_0108_42_03,11|6|10,11|6|10|8|2,2,2|6,0.137364|0.113680|0.112389|0.093657|0.091576
20250108,2025_0108_42_04,11|3|10,11|3|10|9|4,3,3|4,0.177294|0.113230|0.094979|0.091043|0.078037
20250108,2025_0108_42_05,3|9|4,3|9|4|7|5,5|3|9,5|3|9|4|7,0.178463|0.143526|0.132973|0.091892|0.073874
20250108,2025_0108_42_06,5|2|4,5|2|4|12|3,5,5,0.212800|0.141866|0.085120|0.085120|0.079800
20250108,2025_0108_42_07,4|7|8,4|7|8|11|9,4|7,4|7|9,0.317770|0.317770|0.051999|0.049652|0.041448
20250108,2025_0108_42_08,8|12|11,8|12|11|5|7,7|11,7|11,0.146227|0.117286|0.108264|0.100531|0.096510
20250108,2025_0108_42_09,7|5|11,7|5|11|3|4,11|3,11|3|4,0.113051|0.106596|0.096859|0.089408|0.088557
20250108,2025_0108_42_10,8|1|7,8|1|7|5|11,11|1,11|1|8,0.130734|0.129036|0.115533|0.112907|0.098793
20250108,2025_0108_42_11,1|5|12,1|5|12|2|7,5|12,5|12|2,0.191970|0.127980|0.115182|0.109697|0.082273
20250108,2025_0108_42_12,2|12|7,2|12|7|5|11,12|7,12|7,0.129173|0.119177|0.111232|0.087051|0.084250
20250108,2025_0108_47_01,8|5|4,8|5|4|1|3,4|3,4|3|8|5,0.145125|0.139300|0.126863|0.126814|0.124731
20250108,2025_0108_47_02,4|8|6,4|8|6|5|7,4|5|8,4|5|8|7|6,0.161369|0.152646|0.121342|0.119659|0.118765
20250108,2025_0108_47_03,1|3|4,1|3|4|2|6,3,3|1|4,0.192918|0.176841|0.122429|0.116052|0.104999
20250108,2025_0108_47_04,9|10|8,9|10|8|2|3,10|9|8,10|9|8|3,0.142703|0.127635|0.102405|0.095135|0.093536
20250108,2025_0108_47_05,5|1|7,5|1|7|6|3,5|1,5|1|7,0.222668|0.135865|0.120289|0.118464|0.108033
20250108,2025_0108_47_06,6|5|8,6|5|8|1|2,1|8|5,1|8|5|2,0.164876|0.143148|0.135627|0.133813|0.123108
20250108,2025_0108_47_07,3|1|4,3|1|4|7|6,3|7,3|7|4|1,0.219492|0.145988|0.142670|0.129700|0.116250
20250108,2025_0108_47_08,2|4|10,2|4|10|8|5,4|10|2,4|10|2|8,0.238322|0.238322|0.238322|0.048887|0.047664
20250108,2025_0108_47_09,5|7|2,5|7|2|3|4,7|3,7|3|5,0.212814|0.174120|0.145731|0.126749|0.093684
20250108,2025_0108_47_10,8|4|9,8|4|9|10|1,4|9,4|9|8,0.133384|0.132009|0.102068|0.099086|0.097392
20250108,2025_0108_50_01,6|1|11,6|1|11|5|2,6|1,6|1|5|2,0.172854|0.095070|0.088732|0.085563|0.072404
20250108,2025_0108_50_02,2|4|7,2|4|7|3|6,4|3|2,4|3|2,0.196833|0.165243|0.137702|0.136977|0.131222
20250108,2025_0108_50_03,4|5|1,4|5|1|8|7,5|4|8,5|4|8|7,0.213107|0.150428|0.142071|0.125357|0.106553
20250108,2025_0108_50_04,9|1|3,9|1|3|5|7,1|9,1|9|3|7,0.138803|0.121216|0.114419|0.100797|0.100797
20250108,2025_0108_50_05,9|8|3,9|8|3|11|6,8|9,8|9,0.166064|0.123010|0.097685|0.082297|0.076712
20250108,2025_0108_50_06,3|9|4,3|9|4|5|2,9|5,9|5,0.133416|0.110912|0.102286|0.102286|0.096757
20250108,2025_0108_50_07,1|10|4,1|10|4|3|2,10|1,10|1|4,0.187525|0.157190|0.109518|0.107504|0.096201
20250108,2025_0108_50_08,1|2|4,1|2|4|5|3,4|1|2,4|1|2|3|5,0.222252|0.222252|0.222252|0.183031|0.150212
20250108,2025_0108_50_09,8|5|9,8|5|9|3|4,8|9|5,8|9|5|4,0.198996|0.145214|0.131803|0.099498|0.094014
20250108,2025_0108_50_10,1|4|9,1|4|9|2|3,3|1|9,3|1|9,0.193553|0.148684|0.121471|0.109035|0.100648
20250108,2025_0108_50_11,3|10|9,3|10|9|11|2,10|9|3,10|9|3|2,0.157825|0.132441|0.104801|0.102228|0.089530
20250108,2025_0108_50_12,11|8|4,11|8|4|2|3,8|4|11,8|4|11,0.211017|0.180872|0.105509|0.082900|0.068270
20250108,2025_0108_54_01,3|4|6,3|4|6|5|1,4|5,4|5|6,0.414527|0.138176|0.065452|0.064482|0.062702
20250108,2025_0108_54_02,8|6|4,8|6|4|7|9,8,8|6,0.107539|0.104851|0.097084|0.087376|0.087376
20250108,2025_0108_54_03,1|4|8,1|4|8|5|3,3|4,3|4|8,0.196167|0.192664|0.159840|0.134865|0.109721
20250108,2025_0108_54_04,1|6|5,1|6|5|7|3,7,7|5|1,0.140544|0.134846|0.129352|0.113791|0.102954
20250108,2025_0108_54_05,5|8|7,5|8|7|1|3,5|3,5|3|1,0.129271|0.115420|0.108631|0.107176|0.104928
20250108,2025_0108_54_06,5|8|9,5|8|9|1|6,9|8|5,9|8|5|6,0.174760|0.145633|0.135925|0.134267|0.128157
20250108,2025_0108_54_07,7|1|6,7|1|6|8|5,6|7|1,6|7|1|8,0.187523|0.154781|0.137239|0.129561|0.116578
20250108,2025_0108_54_08,5|3|6,5|3|6|2|1,6|2,6|2|3|1,0.434502|0.144834|0.082762|0.077753|0.068606
20250108,2025_0108_54_09,2|5|9,2|5|9|10|1,10|5|9,10|5|9|1|2,0.179811|0.132083|0.118571|0.094994|0.093651
20250108,2025_0108_54_10,5|8|7,5|8|7|4|10,8,8|4|5,0.144670|0.113049|0.100334|0.096002|0.088086
20250109,2025_0109_42_01,5|10|4,5|10|4|3|9,5|4|9,5|4|9|10,0.417404|0.066991|0.062371|0.059629|0.058981
20250109,2025_0109_42_02,6|9|1,6|9|1|2|5,6|2,6|2|9,0.125525|0.123283|0.103454|0.099623|0.096065
20250109,2025_0109_42_03,8|7|4,8|7|4|2|5,8|4|7,8|4|7,0.314150|0.100528|0.075123|0.066455|0.062830
20250109,2025_0109_42_04,9|10|12,9|10|12|5|8,12|5,12|5,0.123873|0.117975|0.117975|0.094955|0.091009
20250109,2025_0109_42_05,7|2|11,7|2|11|1|4,4,4|1,0.185228|0.108835|0.103988|0.098788|0.097291
20250109,2025_0109_42_06,2|1|7,2|1|7|12|5,1|5|12,1|5|12|7,0.264408|0.165255|0.085293|0.080791|0.062954
20250109,2025_0109_42_07,10|5|2,10|5|2|6|4,4|5|10,4|5|10,0.193294|0.135306|0.126520|0.081866|0.072702
20250109,2025_0109_42_08,2|6|10,2|6|10|3|1,2|1,2|1|6,0.159193|0.106129|0.102469|0.089148|0.088939
20250109,2025_0109_42_09,12|1|2,12|1|2|11|5,2,2|1|5,0.221230|0.110615|0.110615|0.080447|0.073743
20250109,2025_0109_42_10,3|9|6,3|9|6|1|4,3|1,3|1|4,0.145259|0.137996|0.134630|0.122663|0.122120
20250109,2025_0109_42_11,4|7|11,4|7|11|8|1,11|1,11|1,0.165330|0.156145|0.104097|0.093687|0.089226
20250109,2025_0109_42_12,10|6|7,10|6|7|8|5,5|10,5|10|6,0.232412|0.116206|0.083004|0.082028|0.079432
20250109,2025_0109_47_01,4|5|1,4|5|1|7|2,1|2,1|2|4|5,0.283210|0.133589|0.124215|0.123964|0.119067
20250109,2025_0109_47_02,4|1|2,4|1|2|3|5,3|1,3|1|5|2,0.471215|0.117804|0.096166|0.083156|0.078536
20250109,2025_0109_47_03,1|3|4,1|3|4|7|2,1|2|3,1|2|3|4,0.253097|0.168731|0.115544|0.111275|0.108470
20250109,2025_0109_47_04,5|7|1,5|7|1|2|8,8|7,8|7|5,0.208839|0.127624|0.116501|0.114607|0.113912
20250109,2025_0109_47_05,2|5|4,2|5|4|8|1,2|5,2|5|4,0.247983|0.151398|0.134456|0.115408|0.111685
20250109,2025_0109_47_06,5|3|8,5|3|8|4|6,4|5,4|5|8,0.177014|0.168585|0.134868|0.123629|0.112879
20250109,2025_0109_47_07,8|1|6,8|1|6|5|4,1|5|8,1|5|8|4,0.215818|0.149413|0.145677|0.115617|0.097118
20250109,2025_0109_47_08,4|1|3,4|1|3|6|7,4|6,4|6|1,0.222555|0.166916|0.140561|0.129824|0.106439
20250109,2025_0109_47_09,12|2|4,12|2|4|10|1,2|12,2|12|4,0.158642|0.097168|0.096565|0.083287|0.081654
20250109,2025_0109_47_10,4|2|3,4|2|3|7|10,3|10,3|10|7|2,0.128483|0.117150|0.103026|0.100879|0.098153
20250109,2025_0109_50_01,2|1|12,2|1|12|11|8,12|8,12|8|1,0.106621|0.102437|0.101843|0.094072|0.090974
20250109,2025_0109_50_02,3|4|8,3|4|8|5|10,4|10,4|10|5,0.118831|0.118831|0.109691|0.101856|0.100069
20250109,2025_0109_50_03,1|4|9,1|4|9|7|3,9|4,9|4,0.246259|0.109448|0.095326|0.093813|0.089549
20250109,2025_0109_50_04,8|2|3,8|2|3|7|4,8|2,8|2|7,0.234784|0.124297|0.104701|0.095261|0.091872
20250109,2025_0109_50_05,2|10|3,2|10|3|1|12,2|10,2|10|3,0.133435|0.108416|0.100076|0.096152|0.083090
20250109,2025_0109_50_06,6|4|7,6|4|7|9|10,9|6,9|6|7,0.291055|0.137868|0.089420|0.085418|0.075273
20250109,2025_0109_50_07,2|5|7,2|5|7|8|3,2|7|8,2|7|8|3,0.290353|0.290353|0.077427|0.072588|0.062968
20250109,2025_0109_50_08,3|4|1,3|4|1|2|5,4|3|2,4|3|2|1|5,0.294808|0.273750|0.189899|0.150294|0.091250
20250109,2025_0109_50_09,8|6|4,8|6|4|7|5,7,7|8|6,0.172634|0.134655|0.121859|0.092339|0.092229
20250109,2025_0109_50_10,9|1|2,9|1|2|10|7,9|1|2,9|1|2|10,0.308814|0.132349|0.108594|0.091500|0.074864
20250109,2025_0109_50_11,8|5|3,8|5|3|2|4,8|2,8|2|3|4,0.359350|0.147968|0.127511|0.089837|0.077697
20250109,2025_0109_50_12,2|7|10,2|7|10|8|11,2|7|11,2|7|11|10,0.294059|0.147030|0.077384|0.076238|0.067860
20250110,2025_0110_42_01,2|6|7,2|6|7|8|11,11,11|6|7,0.292948|0.292948|0.054928|0.049512|0.044386
20250110,2025_0110_42_02,10|1|4,10|1|4|6|3,1,1|4|6,0.143303|0.114237|0.099801|0.088961|0.079840
20250110,2025_0110_42_03,11|12|7,11|12|7|2|6,7|11,7|11|2,0.132580|0.119322|0.111367|0.099898|0.085912
20250110,2025_0110_42_04,1|3|5,1|3|5|6|7,1|6,1|6|7,0.214614|0.214614|0.214614|0.214614|0.042923
20250110,2025_0110_42_05,12|3|8,12|3|8|4|11,3|12,3|12,0.113619|0.104151|0.104151|0.092578|0.083320
20250110,2025_0110_42_06,3|10|2,3|10|2|7|5,7|10,7|10|2,0.182171|0.182171|0.104098|0.076704|0.075905
20250110,2025_0110_42_07,3|11|7,3|11|7|10|1,7|3|11,7|3|11,0.189138|0.180541|0.094569|0.081839|0.078808
20250110,2025_0110_42_08,8|6|2,8|6|2|7|9,8|6|9,8|6|9|7,0.159162|0.127329|0.109587|0.095497|0.095497
20250110,2025_0110_42_09,9|12|7,9|12|7|5|3,9,9|3|12,0.144426|0.106600|0.093641|0.090449|0.087789
20250110,2025_0110_42_10,8|9|12,8|9|12|11|1,11|9,11|9|8,0.163679|0.106088|0.099804|0.093531|0.072746
20250110,2025_0110_42_11,1|7|2,1|7|2|5|6,5|7,5|7,0.283060|0.283060|0.078628|0.065321|0.061535
20250110,2025_0110_42_12,5|8|1,5|8|1|11|9,9,9|8,0.135734|0.133795|0.097559|0.089347|0.076865
20250110,2025_0110_47_01,8|5|1,8|5|1|6|2,5|6,5|6|1,0.182338|0.148572|0.133715|0.133715|0.106364
20250110,2025_0110_47_02,2|8|7,2|8|7|1|3,1|2,1|2|3,0.153075|0.152542|0.139811|0.129958|0.114861
20250110,2025_0110_47_03,6|3|4,6|3|4|5|8,6|4,6|4|3,0.186045|0.178094|0.137387|0.110400|0.108704
20250110,2025_0110_47_04,5|1|8,5|1|8|4|2,5|1,5|1|8,0.180598|0.157665|0.134015|0.120399|0.118249
20250110,2025_0110_47_05,2|8|3,2|8|3|4|1,3|8|4,3|8|4,0.217461|0.184512|0.144974|0.106823|0.103067
20250110,2025_0110_47_06,1|2|4,1|2|4|6|7,1|7|4,1|7|4|2|6,0.215988|0.154277|0.152462|0.131471|0.107994
20250110,2025_0110_47_07,3|7|5,3|7|5|4|2,7|5,7|5|2|3,0.302514|0.302514|0.094536|0.072827|0.067225
20250110,2025_0110_47_08,4|6|8,4|6|8|1|2,4,4|2,0.422400|0.097873|0.088652|0.083644|0.082133
20250110,2025_0110_47_09,8|2|3,8|2|3|4|5,2|3,2|3|8|4,0.166714|0.155600|0.155322|0.140078|0.132754
20250110,2025_0110_47_10,6|3|7,6|3|7|2|4,6|2,6|2|4|7,0.150572|0.147835|0.125835|0.110106|0.106769
20250110,2025_0110_47_11,5|6|8,5|6|8|1|7,7|8,7|8|6,0.242851|0.161901|0.112541|0.107934|0.107019
20250111,2025_0111_55_01,9|6|5,9|6|5|2|7,7|9|6,7|9|6|5,0.197798|0.176605|0.103608|0.100917|0.098899
20250111,2025_0111_55_02,10|4|2,10|4|2|8|3,8|10,8|10|3,0.178597|0.162959|0.109820|0.101462|0.097149
20250111,2025_0111_55_03,7|8|6,7|8|6|5|9,6|8,6|8|7,0.256354|0.129734|0.120241|0.111509|0.093498
20250111,2025_0111_55_04,10|4|2,10|4|2|3|8,4,4|3,0.147722|0.127578|0.116068|0.112269|0.102571
20250111,2025_0111_55_05,1|9|2,1|9|2|12|11,1|11|12,1|11|12,0.174788|0.116525|0.101490|0.084746|0.075995
20250111,2025_0111_55_06,3|5|2,3|5|2|12|7,2,2|3,0.112527|0.103250|0.093066|0.091289|0.090010
20250111,2025_0111_55_07,4|2|5,4|2|5|10|3,4,4|2,0.311054|0.084167|0.082948|0.079081|0.064040
20250111,2025_0111_55_08,4|8|2,4|8|2|11|6,8|6|4,8|6|4|11,0.251694|0.251694|0.074973|0.061639|0.058429
20250111,2025_0111_55_09,11|9|3,11|9|3|6|2,9|6|11,9|6|11|2,0.160788|0.092255|0.087161|0.085039|0.079898
20250111,2025_0111_55_10,6|5|2,6|5|2|4|1,5|4,5|4|6|1,0.264015|0.227346|0.132008|0.131161|0.125813
20250111,2025_0111_55_11,12|8|7,12|8|7|2|1,12|7,12|7|1|2,0.193600|0.094825|0.094439|0.092591|0.088503
20250112,2025_0112_54_01,6|8|11,6|8|11|1|3,6|11,6|11|8|3,0.286257|0.286257|0.095419|0.057251|0.047709
20250112,2025_0112_54_02,10|6|4,10|6|4|2|7,10|6|2,10|6|2|4,0.347205|0.173602|0.091370|0.065510|0.060623
20250112,2025_0112_54_03,3|9|6,3|9|6|8|1,9|8,9|8|6,0.145072|0.124347|0.123641|0.120893|0.116575
20250112,2025_0112_54_04,6|8|9,6|8|9|2|3,9|8,9|8|2,0.337796|0.131365|0.101339|0.093832|0.064342
20250112,2025_0112_54_05,5|4|1,5|4|1|7|3,5|1,5|1|4|3,0.218538|0.198671|0.149003|0.123313|0.119203
20250112,2025_0112_54_06,3|1|7,3|1|7|11|8,3|11,3|11|8,0.263649|0.175766|0.091704|0.074701|0.062774
20250112,2025_0112_54_07,5|4|6,5|4|6|7|9,5|4,5|4|9,0.215813|0.154152|0.124790|0.094840|0.094341
20250112,2025_0112_54_08,9|4|2,9|4|2|5|7,9|5,9|5|4|2,0.365622|0.109687|0.098817|0.092693|0.088020
20250112,2025_0112_54_09,8|6|10,8|6|10|9|2,8|6|10,8|6|10|2,0.151558|0.141454|0.104011|0.097378|0.083208
20250112,2025_0112_54_10,7|4|3,7|4|3|6|2,4|7,4|7|6|2,0.268125|0.218263|0.155513|0.109958|0.105791
20250112,2025_0112_54_11,4|12|5,4|12|5|9|1,4,4|12,0.142880|0.125082|0.082578|0.078901|0.078825
20250112,2025_0112_55_01,8|1|2,8|1|2|7|4,1|8,1|8|7,0.214331|0.196470|0.123403|0.102448|0.094601
20250112,2025_0112_55_02,7|10|3,7|10|3|9|8,10,10|9|8,0.374835|0.115334|0.076579|0.074041|0.068847
20250112,2025_0112_55_03,2|4|8,2|4|8|9|1,2,2|8,0.313857|0.125543|0.125543|0.091542|0.064936
20250112,2025_0112_55_04,11|8|7,11|8|7|6|1,8|7,8|7|6|1,0.135401|0.119204|0.112393|0.109271|0.085856
20250112,2025_0112_55_05,1|9|2,1|9|2|4|11,9|1,9|1,0.178091|0.173002|0.087531|0.086501|0.077359
20250112,2025_0112_55_06,4|9|3,4|9|3|1|10,4,4|1,0.127104|0.116051|0.113802|0.092041|0.090788
20250112,2025_0112_55_07,3|9|7,3|9|7|2|5,3|7,3|7,0.198128|0.112698|0.102898|0.097649|0.096500
20250112,2025_0112_55_08,3|5|6,3|5|6|8|1,1|3,1|3,0.150476|0.139106|0.103430|0.097809|0.085051
20250112,2025_0112_55_09,11|4|5,11|4|5|3|1,5|11|4,5|11|4|3,0.165577|0.147180|0.118270|0.100117|0.099346
20250112,2025_0112_55_10,5|4|3,5|4|3|11|6,3,3|11,0.160813|0.114356|0.094042|0.089340|0.078173
20250112,2025_0112_55_11,3|11|7,3|11|7|6|10,10,10|7,0.140068|0.108942|0.094126|0.092280|0.083522
20250113,2025_0113_44_01,6|3|11,6|3|11|8|9,6|11,6|11|3,0.321542|0.160771|0.067693|0.053590|0.047889
20250113,2025_0113_44_02,7|11|12,7|11|12|6|10,6|11|7,6|11|7|12|10,0.307754|0.307754|0.053061|0.051869|0.038469
20250113,2025_0113_44_03,1|2|3,1|2|3|4|5,1|4|5,1|4|5|2|3,0.166667|0.166667|0.166667|0.166667|0.166667
20250113,2025_0113_44_04,8|11|1,8|11|1|12|10,1,1|8,0.172850|0.111118|0.098772|0.095366|0.076245
20250113,2025_0113_44_05,11|3|13,11|3|13|1|9,11|9,11|9,0.154880|0.140800|0.116160|0.088309|0.081516
20250113,2025_0113_44_06,1|7|3,1|7|3|6|9,1,1|6,0.175168|0.166827|0.119852|0.100096|0.098532
